PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-07-21,18:35:16.40,1,1,"Diaz, Juan",673215,Left,MIL_MIL1,"Reyes, Ripken",685341,Right,LAK_COU10,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.38577,-0.803297,1.728773,1938.863322,142.121266,10:45,5.90473,-1.03996,5.03726,-22.34816,15.46556,-11.08398,3.28417,-0.33222,79.77108,-4.945872,-0.228738,0.442584,,,,,,,,,,,,5.97512,8.25504,0.8842,50,5.81067,-3.31613,-126.72263,-2.57244,9.71486,25.9276,-18.75228,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,d6eb8240-855c-11f1-a17b-7db4bab88cfd,85.16442,,,7.61469,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:35:16.40,2026-07-21T18:35:16.4061696-05:00,2026-07-21T23:35:16.4061696Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,bab99449-e32f-4388-ab5b-3700ecc99afc,55.46003,-127.83487,12.9638,5.90377,-1.768,-9.37614,1.0354,-3.73287,4.85743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-07-21,18:35:33.67,1,2,"Diaz, Juan",673215,Left,MIL_MIL1,"Reyes, Ripken",685341,Right,LAK_COU10,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.02243,-0.413713,0.831615,1901.842024,141.681837,10:45,5.85908,-0.85745,5.16222,-21.71584,15.26615,-11.15276,3.65999,-1.00407,80.5208,-4.447417,-1.143246,0.43769,,,,,,,,,,,,5.76674,8.06335,0.78872,50,5.80428,-1.34365,-127.7509,-1.68532,9.55082,25.78155,-18.81958,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,e130e740-855c-11f1-a17b-7db4bab88cfd,86.11679,,,7.50163,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:35:33.67,2026-07-21T18:35:33.6781312-05:00,2026-07-21T23:35:33.6781312Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,e0810b02-6224-44f1-8e2c-cb4a6c5bb950,55.335,-128.82306,12.89077,5.85809,-0.90267,-9.40979,0.85286,-1.74084,4.77541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-07-21,18:35:47.25,1,3,"Diaz, Juan",673215,Left,MIL_MIL1,"Reyes, Ripken",685341,Right,LAK_COU10,Undefined,1,Top,0,1,1,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.18039,-1.696843,4.982237,1662.744887,103.145552,9:30,5.56395,-1.17649,4.8603,-42.9803,4.1639,-12.26052,0.36968,2.5293,72.99799,-9.389173,2.830629,0.49418,,,,,,,,,,,,7.40382,2.68563,0.69568,50,5.35881,-9.39603,-113.20952,-4.88333,9.75227,17.76883,-28.63652,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,e94e6330-855c-11f1-a17b-7db4bab88cfd,76.27263,,,5.1824,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:35:47.25,2026-07-21T18:35:47.2573952-05:00,2026-07-21T23:35:47.2573952Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,d3e6d5c7-f66f-4b6a-bae9-74d429b9fd18,55.64319,-114.09181,8.88442,5.56598,-3.46141,-14.31826,1.17425,-9.88027,4.87614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-07-21,18:36:20.82,2,1,"Diaz, Juan",673215,Left,MIL_MIL1,"Zuberer, Ray",829518,Left,LAK_COU10,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.85633,-0.961124,3.907895,1989.72497,145.61809,10:45,5.80427,-2.39127,5.33302,-20.49387,16.79198,-10.62753,3.19251,0.3953,79.78207,-4.8027,2.026655,0.439484,88.36801,48.745124,-38.27419,5973.025474,70.28336,108.16948,-84.61821,223.27967,99.15591,-58.231267,5.472815,6.4987,9.07701,2.04595,50,5.70305,-8.21827,-127.17519,-2.81893,10.58907,27.31963,-17.38389,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,fd4b1e00-855c-11f1-a17b-7db4bab88cfd,85.76516,113.33645,,8.07426,,,,1.10376,3.13009,-0.32271,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:36:20.82,2026-07-21T18:36:20.8240640-05:00,2026-07-21T23:36:20.8240640Z,FlyBall,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,d0966683-a2e6-4c23-a6db-80df017145c1,55.16481,-128.27989,13.65982,5.80282,-2.11599,-8.69195,2.38692,-8.64645,5.29454,151.457368,1.12098,66.67706,-25.15864,5.21454,0.7997,-0.93014,0.26938,-0.03476,0.00171,3.10014,97.97126,-27.86093,4.91016,-1.93124,0.59916,-0.10378,0.00885,-0.00029,-0.31225,-53.12662,6.01276,-1.10663,0.46121,-0.17151,0.03481,-0.0035,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-07-21,18:36:41.86,2,2,"Diaz, Juan",673215,Left,MIL_MIL1,"Zuberer, Ray",829518,Left,LAK_COU10,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.99969,-0.142804,3.640422,2083.98167,266.353546,3:00,5.74938,-2.67032,5.34497,-43.68002,1.50736,4.91488,1.97515,1.15865,73.7397,-8.040729,4.511282,0.483816,,,,,,,,,,,,-1.62752,1.12075,2.33823,50,5.70473,-7.48504,-114.67665,-1.77438,-2.19874,18.32251,-30.65994,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,09da24e0-855d-11f1-a17b-7db4bab88cfd,77.9066,,,5.25999,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:36:41.86,2026-07-21T18:36:41.8602496-05:00,2026-07-21T23:36:41.8602496Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,b2be973a-c759-419b-9031-f112462a0787,55.15639,-115.49758,9.16126,5.75346,-0.40068,-15.32997,2.67139,-7.38653,-1.09937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-07-21,18:37:03.03,2,3,"Diaz, Juan",673215,Left,MIL_MIL1,"Zuberer, Ray",829518,Left,LAK_COU10,Undefined,1,Top,0,1,1,Slider,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,78.4489,0.831341,3.225709,2116.887989,328.389101,5:00,5.55937,-2.53717,5.15559,-45.43703,0.28634,0.49823,2.55681,0.54401,73.64774,-7.352433,3.31374,0.486677,103.52593,10.37316,3.109675,827.782728,109.91339,12.20357,4.35879,193.21917,193.21917,1.907873,1.632917,0.42874,0.2487,2.2352,50,5.60147,-6.44426,-114.00136,0.07226,0.57771,16.25981,-31.83892,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,167f24c0-855d-11f1-a17b-7db4bab88cfd,77.44863,12.32316,,4.80116,,,,1.78187,2.60709,-0.48475,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:37:03.03,2026-07-21T18:37:03.0389248-05:00,2026-07-21T23:37:03.0389248Z,LineDrive,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,c8baca19-d2d7-41a0-8eec-377dad55c475,55.34696,-114.76145,8.12991,5.5633,1.56063,-15.91946,2.53708,-6.47126,0.28885,94.236555,1.78187,149.13618,-27.00479,6.34013,-1.54832,0.38913,-0.0912,0.01609,-0.00147,2.60709,27.33965,-20.89463,2.74462,-0.69411,0.17432,-0.04037,0.0072,-0.00066,-0.48475,8.10218,-3.24737,0.75422,-0.18672,0.04716,-0.01102,0.00195,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-07-21,18:37:39.30,3,1,"Diaz, Juan",673215,Left,MIL_MIL1,"Mears, Joshua",687084,Right,LAK_COU10,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.35607,-1.127711,1.513356,1961.927844,139.45191,10:45,5.86013,-0.88074,5.49684,-22.1495,13.89942,-10.98241,2.95901,-0.38007,81.37945,-5.240194,-0.443421,0.432133,,,,,,,,,,,,5.92343,7.63182,0.75599,50,5.74663,-2.91017,-128.3414,-3.2837,9.9605,24.52878,-19.34081,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,2c136f80-855d-11f1-a17b-7db4bab88cfd,87.22412,,,6.97662,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:37:39.30,2026-07-21T18:37:39.3022464-05:00,2026-07-21T23:37:39.3022464Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,51e8e9a5-735f-4316-bb72-a5d2b6a26596,55.00171,-129.2938,12.26439,5.85955,-2.53274,-9.67041,0.8765,-3.29692,4.98025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-07-21,18:37:55.33,3,2,"Diaz, Juan",673215,Left,MIL_MIL1,"Mears, Joshua",687084,Right,LAK_COU10,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50893,-2.921652,2.594286,1943.923133,143.113173,10:45,5.90584,-0.80133,5.60199,-20.37674,14.58272,-10.19071,1.47516,0.77296,82.87784,-6.697511,0.77624,0.425553,,,,,,,,,,,,5.88441,8.44437,0.5862,50,5.64215,-5.46147,-129.90122,-7.32703,10.17169,24.24591,-17.57729,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,359b29d0-855d-11f1-a17b-7db4bab88cfd,88.57282,,,6.63109,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:37:55.33,2026-07-21T18:37:55.3383936-05:00,2026-07-21T23:37:55.3383936Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,5659ad54-2fd6-42c9-be1e-24f3e83e79a7,54.89943,-130.8125,12.12295,5.90512,-6.66639,-8.78864,0.79865,-5.84377,5.08585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-07-21,18:38:18.89,3,3,"Diaz, Juan",673215,Left,MIL_MIL1,"Mears, Joshua",687084,Right,LAK_COU10,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.34641,1.855488,0.988785,2201.532767,244.222821,2:15,5.68843,-0.9991,5.16817,-41.31128,2.66843,3.01555,3.9929,0.18284,74.32237,-5.653112,1.522619,0.477307,,,,,,,,,,,,-1.26602,1.24638,0.90455,50,5.82959,-2.13785,-116.70572,2.31153,-1.76744,19.44642,-30.43405,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,43b2cc80-855d-11f1-a17b-7db4bab88cfd,78.96902,,,6.02404,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:38:18.89,2026-07-21T18:38:18.8939264-05:00,2026-07-21T23:38:18.8939264Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,d8717cf2-a6c3-4442-8aff-84ed540e5a9e,55.3317,-117.59077,9.72321,5.69287,3.69666,-15.21702,1.00002,-2.05741,-0.88372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-07-21,18:38:41.35,3,4,"Diaz, Juan",673215,Left,MIL_MIL1,"Mears, Joshua",687084,Right,LAK_COU10,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.17665,-1.542554,1.636737,1944.084702,145.896866,10:45,5.94441,-0.63649,5.49535,-19.43611,15.23469,-9.6115,2.8809,0.09396,82.92216,-5.167973,-0.075476,0.423793,77.32418,4.373926,173.865402,923.132022,,,,53.09046,53.09046,176.398191,0.457643,5.18386,8.37622,0.49946,50,5.79629,-3.29038,-130.88979,-4.17873,9.06449,25.5709,-17.52742,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,510c2840-855d-11f1-a17b-7db4bab88cfd,88.94079,2.89294,,7.25449,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-21,23:38:41.35,2026-07-21T18:38:41.3527040-05:00,2026-07-21T23:38:41.3527040Z,GroundBall,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,a82408ef-568f-4351-810d-b68f06321219,54.99988,-131.86296,12.78545,5.94263,-3.51167,-8.76371,0.63125,-3.63535,4.53225,,-3.2273,-112.68864,8.61534,,,,,,,2.29806,8.27774,-29.11951,,,,,,,-0.18136,11.92649,-9.29496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
